ID,Date,City,Population,Daily vaccinations,Total vaccinations,Percentage (%),Delivery (bottle),Remaining (bottle),Remaining (%),Daily vaccinations (AZ),Total vaccinations (AZ),"Percentage (AZ,%)","Delivery (AZ,doses)","Remaining (AZ,doses)","Remaining (AZ,%)",Daily vaccinations (Moderna),Total vaccinations (Moderna),"Percentage (Moderna,%)","Delivery (Moderna,doses)","Remaining (Moderna,doses)","Remaining (Moderna,%)"
"1,168",7/26/2021,New Taipei City,"4,026,019",None,"1,205,722",29.90%,"1,397,834","264,080",18.90%,0,"664,763",16.51,"853,700","252,070",29.53,0,"540,959",13.44,"544,134","12,010",2.21
"1,167",7/26/2021,Taipei City,"2,574,704",None,"1,039,014",40.40%,"1,195,958","202,112",16.90%,0,"581,072",22.57,"704,910","171,610",24.34,0,"457,942",17.79,"491,048","30,502",6.21
"1,172",7/26/2021,Kaohsiung City,"2,758,494",None,"815,949",29.60%,"906,742","144,784",16.00%,0,"458,321",16.61,"547,300","130,920",23.92,0,"357,628",12.96,"359,442","13,864",3.86
"1,170",7/26/2021,Taichung City,"2,820,114",None,"796,772",28.30%,"882,340","137,152",15.50%,0,"508,235",18.02,"578,700","117,920",20.38,0,"288,537",10.23,"303,640","19,232",6.33
"1,169",7/26/2021,Taoyuan City,"2,270,939",None,"659,631",29.10%,"780,286","168,906",21.60%,0,"368,788",16.24,"489,190","158,740",32.45,0,"290,843",12.81,"291,096","10,166",3.49
"1,171",7/26/2021,Tainan City,"1,870,343",None,"495,835",26.50%,"564,060","106,562",18.90%,0,"303,701",16.24,"370,700","100,470",27.1,0,"192,134",10.27,"193,360","6,092",3.15
"1,174",7/26/2021,Changhua County,"1,261,770",None,"334,929",26.50%,"366,800","56,054",15.30%,0,"215,508",17.08,"244,500","51,400",21.02,0,"119,421",9.46,"122,300","4,654",3.81
"1,176",7/26/2021,Pingtung County,"809,130",None,"250,038",30.90%,"264,740","27,292",10.30%,0,"144,417",17.85,"158,460","25,030",15.8,0,"105,621",13.05,"106,280","2,262",2.13
"1,175",7/26/2021,Yunlin County,"674,152",None,"190,124",28.20%,"204,400","29,612",14.50%,0,"124,734",18.5,"136,100","25,210",18.52,0,"65,390",9.7,"68,300","4,402",6.45
"1,180",7/26/2021,Miaoli County,"540,917",None,"129,297",23.90%,"142,600","22,048",15.50%,0,"78,921",14.59,"92,300","20,860",22.6,0,"50,376",9.31,"50,300","1,188",2.36
"1,185",7/26/2021,Nantou County,"488,689",None,"128,401",26.30%,"141,340","22,426",15.90%,0,"74,051",15.15,"87,500","21,760",24.87,0,"54,350",11.12,"53,840",666,1.24
"1,173",7/26/2021,Hsinchu County,"572,872",None,"127,040",22.20%,"149,120","30,630",20.50%,0,"80,775",14.1,"100,300","27,420",27.34,0,"46,265",8.08,"48,820","3,210",6.58
"1,182",7/26/2021,Chiayi County,"497,172",None,"126,703",25.50%,"142,956","24,968",17.50%,0,"77,743",15.64,"94,600","24,800",26.22,0,"48,960",9.85,"48,356",168,0.35
"1,178",7/26/2021,Yilan County,"452,334",None,"125,702",27.80%,"151,060","35,358",23.40%,0,"76,628",16.94,"102,200","34,200",33.46,0,"49,074",10.85,"48,860","1,158",2.37
"1,179",7/26/2021,Hsinchu City,"452,450",None,"123,134",27.20%,"140,160","26,190",18.70%,0,"77,370",17.1,"94,700","25,120",26.53,0,"45,764",10.11,"45,460","1,070",2.35
"1,177",7/26/2021,Keelung City,"366,643",None,"111,326",30.40%,"136,350","36,006",26.40%,0,"56,401",15.38,"79,630","32,080",40.29,0,"54,925",14.98,"56,720","3,926",6.92
"1,183",7/26/2021,Hualien County,"323,252",None,"102,074",31.60%,"119,388","24,328",20.40%,0,"53,996",16.7,"69,870","21,620",30.94,0,"48,078",14.87,"49,518","2,708",5.47
"1,181",7/26/2021,Chiayi City,"265,234",None,"98,325",37.10%,"106,964","19,190",17.90%,0,"69,107",26.06,"77,100","17,100",22.18,0,"29,218",11.02,"29,864","2,090",7
"1,184",7/26/2021,Taitung County,"214,428",None,"66,277",30.90%,"72,332","9,814",13.60%,0,"29,140",13.59,"35,130","9,010",25.65,0,"37,137",17.32,"37,202",804,2.16
"1,186",7/26/2021,Penghu County,"105,749",None,"44,426",42.00%,"45,520","4,894",10.80%,0,"30,307",28.66,"31,800","4,600",14.47,0,"14,119",13.35,"13,720",294,2.14
"1,187",7/26/2021,Kinmen County,"140,228",None,"33,127",23.60%,"40,920","9,540",23.30%,0,"20,539",14.65,"27,500","8,840",32.15,0,"12,588",8.98,"13,420",700,5.22
"1,188",7/26/2021,Lienchiang County,"13,437",None,"9,284",69.10%,"13,300","4,442",33.40%,0,"6,870",51.13,"10,300","3,980",38.64,0,"2,414",17.97,"3,000",462,15.4
838,7/25/2021,New Taipei City,"4,026,019",None,"1,142,738",28.40%,"1,397,834","325,656",23.30%,0,"604,697",15.02,"853,700","313,020",36.67,0,"538,041",13.36,"544,134","12,636",2.32
837,7/25/2021,Taipei City,"2,574,704",None,"1,000,259",38.90%,"1,195,958","236,693",19.80%,0,"544,949",21.17,"704,910","205,110",29.1,0,"455,310",17.68,"491,048","31,583",6.43
842,7/25/2021,Kaohsiung City,"2,758,494",None,"783,738",28.40%,"906,742","175,252",19.30%,0,"427,832",15.51,"547,300","159,550",29.15,0,"355,906",12.9,"359,442","15,702",4.37
840,7/25/2021,Taichung City,"2,820,114",None,"742,047",26.30%,"882,340","186,344",21.10%,0,"455,047",16.14,"578,700","165,700",28.63,0,"287,000",10.18,"303,640","20,644",6.8
839,7/25/2021,Taoyuan City,"2,270,939",None,"617,276",27.20%,"780,286","205,101",26.30%,0,"327,719",14.43,"489,190","194,280",39.71,0,"289,557",12.75,"291,096","10,821",3.72
